
2025/03/28 (16:39:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/28 (16:39:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/30 (21:13:21) | ===> btop++ v.1.4.0
2025/03/30 (21:13:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/30 (21:13:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/04/08 (23:17:28) | ===> btop++ v.1.4.0
2025/04/08 (23:17:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/08 (23:17:28) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/08 (23:17:47) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:17:49) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:17:51) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:17:53) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:17:55) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:17:57) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:17:59) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:01) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:03) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:05) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:07) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:09) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:11) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:13) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:15) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:17) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:19) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:21) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:23) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:25) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:27) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:29) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:31) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:33) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:35) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:38) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:40) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:18:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 

2025/04/08 (23:20:38) | ===> btop++ v.1.4.0
2025/04/08 (23:20:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/04/08 (23:20:38) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/04/08 (23:20:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:52) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:20:58) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:00) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:02) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:04) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:06) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:08) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:10) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:12) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:14) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:16) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:18) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:20) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:22) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:24) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:26) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:28) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:30) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:32) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:34) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:36) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:38) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:40) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:42) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:44) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:46) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:48) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:50) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:52) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:54) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
2025/04/08 (23:21:56) | WARNING: ROCm SMI: Failed to get VRAM clock speed: 
